Reaction,dG0_Base (eV),U_SHE (V),pH,dG_Corrected (eV)
*CO + H+ + e- -> *COH,2.9495,-2.0,0,0.9495
*CO + H+ + e- -> *COH,2.9495,-1.9,0,1.0495
*CO + H+ + e- -> *COH,2.9495,-1.8,0,1.1495
*CO + H+ + e- -> *COH,2.9495,-1.7,0,1.2495
*CO + H+ + e- -> *COH,2.9495,-1.6,0,1.3495
*CO + H+ + e- -> *COH,2.9495,-1.5,0,1.4495
*CO + H+ + e- -> *COH,2.9495,-1.4,0,1.5495
*CO + H+ + e- -> *COH,2.9495,-1.3,0,1.6495
*CO + H+ + e- -> *COH,2.9495,-1.2,0,1.7495
*CO + H+ + e- -> *COH,2.9495,-1.1,0,1.8495
*CO + H+ + e- -> *COH,2.9495,-1.0,0,1.9495
*CO + H+ + e- -> *COH,2.9495,-0.9,0,2.0495
*CO + H+ + e- -> *COH,2.9495,-0.8,0,2.1495
*CO + H+ + e- -> *COH,2.9495,-0.7,0,2.2495
*CO + H+ + e- -> *COH,2.9495,-0.6,0,2.3495
*CO + H+ + e- -> *COH,2.9495,-0.5,0,2.4495
*CO + H+ + e- -> *COH,2.9495,-0.4,0,2.5495
*CO + H+ + e- -> *COH,2.9495,-0.3,0,2.6495
*CO + H+ + e- -> *COH,2.9495,-0.2,0,2.7495
*CO + H+ + e- -> *COH,2.9495,-0.1,0,2.8495
*CO + H+ + e- -> *COH,2.9495,0.0,0,2.9495
*CO + H+ + e- -> *COH,2.9495,0.1,0,3.0495
*CO + H+ + e- -> *COH,2.9495,0.2,0,3.1495
*CO + H+ + e- -> *COH,2.9495,0.3,0,3.2495
*CO + H+ + e- -> *COH,2.9495,0.4,0,3.3495
*CO + H+ + e- -> *COH,2.9495,0.5,0,3.4495
*CO + H+ + e- -> *COH,2.9495,0.6,0,3.5495
*CO + H+ + e- -> *COH,2.9495,0.7,0,3.6495
*CO + H+ + e- -> *COH,2.9495,0.8,0,3.7495
*CO + H+ + e- -> *COH,2.9495,0.9,0,3.8495
*CO + H+ + e- -> *COH,2.9495,1.0,0,3.9495
*CO + H+ + e- -> *COH,2.9495,1.1,0,4.0495
*CO + H+ + e- -> *COH,2.9495,1.2,0,4.1495
*CO + H+ + e- -> *COH,2.9495,1.3,0,4.2495
*CO + H+ + e- -> *COH,2.9495,1.4,0,4.3495
*CO + H+ + e- -> *COH,2.9495,1.5,0,4.4495
*CO + H+ + e- -> *COH,2.9495,1.6,0,4.5495
*CO + H+ + e- -> *COH,2.9495,1.7,0,4.6495
*CO + H+ + e- -> *COH,2.9495,1.8,0,4.7495
*CO + H+ + e- -> *COH,2.9495,1.9,0,4.8495
*CO + H+ + e- -> *COH,2.9495,2.0,0,4.9495
