id,ZPE (eV),G(T) (eV),Total energy at Zero K (eV),Gibbs free energy at 298.1 K (eV),
*CHO,0.4214,0.3661,-576.8205789,-576.4544789,-576.4544254
*CO2,0.33785834,0.20147626,-582.5190909,-582.3176146,-582.3176146
*COOH,0.58802605,0.52465735,-584.1171632,-583.5925058,-583.5925058
*CO,0.17166327,0.05977911,-574.3554394,-574.2956603,-574.2956603
*COCO,0.46647195,0.38289186,-588.5229533,-588.1400615,-588.1400615
*COHCHOH,1.31827833,1.20684743,-599.0714022,-597.8645547,-597.8645547
*COHCH2O,1.23362422,1.102981,-599.3822749,-598.2792939,-598.2792939
CH2CH2,1.37926857,1.32072114,-32.03075484,-30.7100337,-30.7100337
*COCOH,0.77355348,0.68358873,-592.0752905,-591.3917018,-591.3917018
*CHOCOH,1.0875948,0.99829201,-596.2062639,-595.2079719,-595.2079719
*CO-CHO,0.7551422,0.65209507,-593.9334529,-593.2813579,-593.2813579
*CHOHCH2,1.56198947,1.4419707,-598.7119324,-597.2699617,-597.2699617
*CHOHCH2OH,1.91919095,1.8321556,-607.9331982,-606.1010426,-606.1010426
*H2O,0.65358909,0.58292688,-573.9555177,-573.3725908,-573.3725908
*COCHO,0.70305138,0.57843357,-592.3826821,-591.8042485,-591.8042485
*CH2OHCH2,1.76326345,1.59260206,-600.9034745,-599.3108724,-599.3108724
CH3CH2OH,2.1485956,2.07904795,-46.98867308,-44.90962513,-44.90962513
*COH-COH,1.01129452,0.91988753,-592.7044138,-591.7845262,-591.7845262
*COHCOH,1.09698087,1.02208984,-595.7572365,-594.7351467,-594.7351467
*CH2C,0.84754458,0.80297797,-583.6828999,-582.8799219,-582.8799219
*CH2OHCHOH,1.96004391,1.83302078,-607.8601804,-606.0271596,-606.0271596
*CH2OHCH2O,1.92330571,1.78909228,-607.4794631,-605.6903709,-605.6903709
*CHOHCH2O,1.6565817,1.519273,-605.4153547,-603.8960817,-603.8960817
*CH2CH2OH,1.76155638,1.60201027,-600.9432039,-599.3411936,-599.3411936
*CH2CH2O,1.57121235,1.48408162,-598.0067922,-596.5227106,-596.5227106
*CH2OHCOH,1.65041793,1.52679737,-603.7751335,-602.2483362,-602.2483362
*COCHOH,1.01309291,0.90443166,-596.468375,-595.5639434,-595.5639434
*CH2CH,1.01702647,0.94886798,-585.7727683,-584.8239003,-584.8239003
*CH2CHOH,1.55900839,1.47906167,-598.7119334,-597.2328717,-597.2328717
*CH2COH,1.17082231,1.07826732,-593.1742695,-592.0960022,-592.0960022
*CH2CO,0.88692987,0.75710612,-590.5290268,-589.7719207,-589.7719207
*CHCO,0.586455,0.51705793,-585.0824581,-584.5654001,-584.5654001
*CCO,0.37920911,0.34757154,-581.874598,-581.5270265,-581.5270265
*CHOHCOH,1.3026591,1.23605915,-600.217883,-598.9818239,-598.9818239
*CO-CO,0.34976916,0.18448378,-589.2864266,-589.1019428,-589.1019428
*CHCHO,0.81582571,0.7701309,-587.6481279,-586.877997,-586.877997
*CHCHOH,1.16841287,1.06034993,-592.3898697,-591.3295198,-591.3295198
*COHCHO,1.01374837,0.89933458,-595.1603016,-594.2609671,-594.2609671
*COHCH2,1.16686184,1.07902236,-593.16886,-592.0898376,-592.0898376
*CH2CHOH,1.53221381,1.41537728,-598.6621286,-597.2467513,-597.2467513
*CHO-CHO,0.98571484,0.88709183,-596.0446355,-595.1575436,-595.1575436
*CHOCHO,1.01183655,0.87959455,-596.2766114,-595.3970169,-595.3970169
*CHOHCH2,1.52266926,1.42236327,-598.5399692,-597.1176059,-597.1176059
*CHOCHOH,1.35035526,1.23442491,-600.886821,-599.6523961,-599.6523961
*CHOCH2OH,1.65139964,1.48498261,-605.3827731,-603.8977905,-603.8977905
*CHOCH2O,1.21694379,1.0824733,-599.7211638,-598.6386905,-598.6386905
CH2OHCH2OH,2.28081014,2.16211159,-53.43572739,-51.2736158,-51.2736158
*COHCHOH,1.33265751,1.17484576,-599.1655721,-597.9907264,-597.9907264
*CCHOH,0.84601005,0.79873594,-588.9705289,-588.1717929,-588.1717929
*CCH,0.46692723,0.41925255,-576.597829,-576.1785764,-576.1785764
*CHOHCHOH,1.68013978,1.57727619,-605.246494,-603.6692178,-603.6692178
*CHOHCOH,1.33112698,1.21033399,-599.1910355,-597.9807015,-597.9807015
*CH2OCOH,1.58042382,1.491312,-597.6538822,-596.1625702,-596.1625702
*CH2OHCHO,1.62073226,1.49751592,-605.4710364,-603.9735205,-603.9735205
*CO-COH,0.72356101,0.62690838,-591.960419,-591.3335107,-591.3335107
*COH-CHO,0.99686639,0.91248503,-594.8381736,-593.9256886,-593.9256886
CO2,0.132,-0.611,-14.792,-22.98,-22.98
H2,0.265,-0.402,-6.688,-6.735,-6.735
H2O,0.54,-0.67,-14.2,-14.227,-14.227
*,,,,-559.364,-559.364
*COHCO,0.72256361,0.61409206,-591.5753004,-590.9612083,-590.9612083
*CH2OCH2OH,1.92330571,1.78909228,-607.4794631,-605.6903709,-605.6903709
*COHCH2OH,1.65041793,1.52679737,-603.7751335,-602.2483362,-602.2483362
*COCOH,0.77355348,0.68358873,-592.0752905,-591.3917018,-591.3917018
*COCH2OH,1.37819876,1.25236644,-600.3664676,-599.1141011,-599.1141011
*COH,0.40850438,0.34693201,-575.0606378,-574.7137057,-574.7137057
